"Cost per conversation in INR, effective June 1, 2023",,,,
Market,Currency,Marketing,Utility,Service
Argentina,₹,4.5293,2.9902,2.3130
Brazil,₹,4.5808,2.5652,2.1987
Chile,₹,6.5135,4.2935,3.3279
Colombia,₹,0.9161,0.6230,0.4397
Egypt,₹,7.8651,5.0357,4.7191
France,₹,10.4984,5.6304,6.2990
Germany,₹,10.0073,6.2536,6.0044
India,₹,0.7265,0.3082,0.2906
Indonesia,₹,3.0111,1.4653,1.3890
Israel,₹,2.5871,1.3779,1.3192
Italy,₹,5.0614,3.0764,2.8259
Malaysia,₹,6.3037,1.4660,1.6096
Mexico,₹,3.1938,1.9485,0.7669
Netherlands,₹,11.7078,5.8649,6.5320
Nigeria,₹,3.7851,2.3400,2.2710
Pakistan,₹,3.4683,1.8551,1.0405
Peru,₹,5.1536,3.0717,1.3152
Russia,₹,5.8767,3.4953,2.9149
Saudi Arabia,₹,2.9725,1.8450,1.4277
South Africa,₹,2.7821,1.4681,1.2332
Spain,₹,4.5044,2.7832,2.7026
Turkey,₹,0.7989,0.6816,0.2199
United Arab Emirates,₹,2.4924,1.4515,1.3899
United Kingdom,₹,5.1663,2.9166,2.8448
North America,₹,1.8313,1.0988,0.6461
Rest of Africa,₹,1.6497,1.1731,2.6572
Rest of Asia Pacific,₹,5.3664,3.4603,1.6385
Rest of Central & Eastern Europe,₹,6.2997,4.5343,1.8350
Rest of Latin America,₹,5.4207,3.6187,3.1030
Rest of Middle East,₹,2.4993,1.4512,1.5985
Rest of Western Europe,₹,4.3378,3.0775,2.9104
Other,₹,4.4248,2.4761,1.0615
